epoch,train_loss,val_cosine,val_mse,val_nll,val_uncertainty_mean,val_uncertainty_std,val_logvar_mean,val_logvar_std,val_logvar_clamp_fraction,val_spearman_u_e,embedding_error_mean
1,-2.2354173787434894,0.6630171537399292,0.0013163391267880797,-2.906028985977173,0.001450987532734871,5.009068715366993e-08,-8.950139045715332,2.004861831665039,0.677734375,0.09718349928876244,0.336982786655426
2,-2.6384674406051634,0.7076106667518616,0.001142145716585219,-2.933945655822754,0.0007204273133538663,1.0091838476000703e-08,-9.68310546875,2.079392910003662,0.724609375,0.34569042807131267,0.29238930344581604
3,-2.686976752281189,0.7070492506027222,0.0011443387484177947,-2.9301319122314453,0.0007521639345213771,6.842085564784384e-09,-9.574951171875,2.1040701866149902,0.728515625,-0.10472031024402885,0.29295071959495544
4,-2.701212609608968,0.7097772359848022,0.0011336831375956535,-2.9832069873809814,0.0008778607007116079,6.302665056523438e-09,-8.837477684020996,1.8846745491027832,0.599609375,0.06112810314915603,0.29022282361984253
5,-2.717075165112813,0.7110322713851929,0.0011287805391475558,-2.992889881134033,0.0008505426812916994,5.152948734377105e-09,-8.874189376831055,1.8945412635803223,0.583984375,-0.008748906413481408,0.2889677584171295
6,-2.724339318275452,0.7100990414619446,0.0011324258521199226,-2.9896955490112305,0.0008375834440812469,5.483866249988978e-09,-8.839691162109375,1.8884772062301636,0.578125,-0.04963227451259761,0.2899009883403778
7,-2.7333622344334922,0.709197461605072,0.0011359474156051874,-2.9995317459106445,0.0008753649308346212,6.149943665434421e-09,-8.633183479309082,1.792928695678711,0.537109375,-0.15158757279576854,0.2908025085926056
8,-2.7341142511367797,0.7091371417045593,0.0011361828073859215,-2.98323130607605,0.0007967202691361308,4.085221494420921e-09,-8.859294891357422,1.7535197734832764,0.560546875,0.13600603318153728,0.2908627986907959
9,-2.7422563457489013,0.7107892036437988,0.0011297299060970545,-3.0139927864074707,0.0010440185433253646,1.0587847931731176e-08,-8.3656587600708,1.6625202894210815,0.478515625,-0.052919085097621894,0.28921082615852356
10,-2.738978994687398,0.70965975522995,0.0011341418139636517,-2.948378562927246,0.0007035179296508431,2.438078849920089e-09,-9.125057220458984,1.822557806968689,0.69140625,-0.03003443135015659,0.29034027457237244
11,-2.746899061203003,0.7105506658554077,0.0011306615779176354,-2.990530014038086,0.0007873857975937426,5.1861470673486565e-09,-8.700377464294434,1.6795737743377686,0.568359375,-0.057520078606189344,0.2894493043422699
12,-2.749178285598755,0.7102851867675781,0.001131698489189148,-2.9652717113494873,0.0006949985399842262,2.3360835488261955e-09,-8.996856689453125,1.7628124952316284,0.658203125,0.08249813327180912,0.2897147834300995
13,-2.7562017488479613,0.7093098163604736,0.0011355088790878654,-2.944304943084717,0.0006523211486637592,2.94163182701368e-09,-9.000520706176758,1.7039912939071655,0.69140625,-0.05921225853701621,0.29069021344184875
14,-2.7565850321451824,0.7108568549156189,0.0011294652940705419,-3.0265331268310547,0.0010363402543589473,1.038731767266654e-08,-8.159249305725098,1.576324701309204,0.419921875,-0.10711999458067138,0.2891431152820587
15,-2.755441214243571,0.7099583148956299,0.001132975914515555,-3.0080277919769287,0.000844012014567852,5.2206790002173875e-09,-8.492101669311523,1.6670209169387817,0.453125,0.014965183206901203,0.2900417447090149
