epoch,train_loss,val_cosine,val_mse,val_nll,val_uncertainty_mean,val_uncertainty_std,val_logvar_mean,val_logvar_std,val_logvar_clamp_fraction,val_spearman_u_e,embedding_error_mean
1,2.1080727577209473,0.12465409189462662,0.003419320099055767,,,,,,,,
2,0.6875087022781372,0.15202100574970245,0.0033124180044978857,,,,,,,,
3,0.36567461490631104,0.1676965355873108,0.003251185640692711,,,,,,,,
4,0.2877511978149414,0.18424607813358307,0.003186538815498352,,,,,,,,
5,0.24865010380744934,0.2049514204263687,0.003105658572167158,,,,,,,,
6,0.21741220355033875,0.228216752409935,0.0030147782526910305,,,,,,,,
7,0.19811275601387024,0.2512436807155609,0.002924829488620162,,,,,,,,
8,0.18581260740756989,0.2739219665527344,0.0028362423181533813,,,,,,,,
9,0.1725511997938156,0.29572463035583496,0.0027510756626725197,,,,,,,,
10,0.1661025434732437,0.31662634015083313,0.00266942847520113,,,,,,,,
11,0.15291841328144073,0.3364294767379761,0.0025920725893229246,,,,,,,,
12,0.14759096503257751,0.35472917556762695,0.002520589390769601,,,,,,,,
13,0.14056336879730225,0.3715507984161377,0.002454879693686962,,,,,,,,
14,0.1320171058177948,0.3871322572231293,0.002394014736637473,,,,,,,,
15,0.1286580115556717,0.40134406089782715,0.0023384999949485064,,,,,,,,
16,0.12280704826116562,0.4142649173736572,0.002288027899339795,,,,,,,,
17,0.11687345802783966,0.4261867105960846,0.0022414582781493664,,,,,,,,
18,0.11386597156524658,0.4370221197605133,0.0021991324611008167,,,,,,,,
19,0.11094238609075546,0.4468986690044403,0.002160552190616727,,,,,,,,
20,0.10939240455627441,0.4557555615901947,0.0021259551867842674,,,,,,,,
21,0.10695254802703857,0.46381279826164246,0.0020944816060364246,,,,,,,,
22,0.10256727039813995,0.4713132381439209,0.0020651828963309526,,,,,,,,
23,0.09836714714765549,0.4783083498477936,0.002037858124822378,,,,,,,,
24,0.09661559015512466,0.48473772406578064,0.0020127431489527225,,,,,,,,
25,0.09695427119731903,0.4907494783401489,0.001989260083064437,,,,,,,,
26,0.09340758621692657,0.4963201582431793,0.0019674994982779026,,,,,,,,
27,0.09209410101175308,0.5015005469322205,0.0019472639542073011,,,,,,,,
28,0.09014306962490082,0.5063002705574036,0.0019285150337964296,,,,,,,,
29,0.08944957703351974,0.5107066631317139,0.0019113022135570645,,,,,,,,
30,0.0891462191939354,0.514685869216919,0.0018957583233714104,,,,,,,,
31,0.08821871876716614,0.5182428359985352,0.0018818641547113657,,,,,,,,
32,0.08754242956638336,0.5214712023735046,0.0018692531157284975,,,,,,,,
33,0.08400908857584,0.5243902802467346,0.001857850467786193,,,,,,,,
34,0.08599267899990082,0.5270035862922668,0.0018476424738764763,,,,,,,,
35,0.08373433351516724,0.5293654203414917,0.0018384167924523354,,,,,,,,
36,0.08385476469993591,0.531463623046875,0.0018302203388884664,,,,,,,,
37,0.0827399417757988,0.533292293548584,0.0018230769783258438,,,,,,,,
38,0.08100686222314835,0.5348647236824036,0.0018169349059462547,,,,,,,,
39,0.08187535405158997,0.5362196564674377,0.0018116420833393931,,,,,,,,
40,0.08008322864770889,0.5373786687850952,0.0018071148078888655,,,,,,,,
41,0.08143293112516403,0.5383418798446655,0.001803352264687419,,,,,,,,
42,0.07998079061508179,0.5391323566436768,0.0018002644646912813,,,,,,,,
43,0.08034130185842514,0.5397483706474304,0.001797857927158475,,,,,,,,
44,0.08124198019504547,0.5402176976203918,0.0017960247350856662,,,,,,,,
45,0.0811423808336258,0.5405660271644592,0.0017946643056347966,,,,,,,,
46,0.08318564295768738,0.5408040881156921,0.0017937342636287212,,,,,,,,
47,0.07997715473175049,0.54095858335495,0.0017931307666003704,,,,,,,,
48,0.0788157507777214,0.5410464406013489,0.0017927876906469464,,,,,,,,
49,0.07785462588071823,0.5410864949226379,0.0017926308792084455,,,,,,,,
50,0.07869630306959152,0.5410966873168945,0.0017925910651683807,,,,,,,,
